Area,Condo,Consideration Amount,Distance (KM),PIN,Registration Date,Year Built,Property Code,Roll Number,Street View URL,TerraNet Property Type,ID,Area In Acres,LRO Number,Use Acres,Sale Address
426,N,1475000,9281.0,075070215,2023/12/20 00:00,,,,,,196,0.0,80,False,"39 BETHNAL AVE, TORONTO, M8Y1Y8"
456,N,0,9272.0,075070218,2023/12/20 00:00,,,,,,193,0.0,80,False,"107 BALLACAINE DR, TORONTO, M8Y4B9"
495,N,0,7715.0,213870352,2023/12/22 00:00,,,,,,7,0.0,80,False,"26 WILLARD GDNS, TORONTO, M6S1G1"
527,N,0,7884.0,102780060,2023/12/22 00:00,,,,,,30,0.0,80,False,"19 ARROWSMITH AVE, TORONTO, M6M2W8"
529,N,1300000,6764.0,103780043,2023/12/22 00:00,,,,,,35,0.0,80,False,"191 PARKVIEW HILL CRES, TORONTO, M4B1S1"
563,N,0,9880.0,102810619,2023/12/21 00:00,,,,,,154,0.0,80,False,"14 ALLADIN AVE, TORONTO, M6L1S5"
563,N,1200000,9880.0,102810619,2023/12/22 00:00,,,,,,28,0.0,80,False,"14 ALLADIN AVE, TORONTO, M6L1S5"
582,N,0,4951.0,211640061,2023/12/21 00:00,,,,,,157,0.0,80,False,"645 BRIAR HILL AVE, TORONTO, M5N1N4"
595,Y,900000,6689.0,122940027,2023/12/22 00:00,,,,,,61,0.0,80,False,"502 - 1 ST JOHNS RD, TORONTO, M6P1T7"
636,N,1450000,8092.0,104440064,2023/12/22 00:00,,,,,,43,0.0,80,False,"19 MIDBURN AVE, EAST YORK, M4C2C8"
665,N,2000000,7093.0,210040570,2023/12/22 00:00,,,,,,60,0.0,80,False,"183 KENILWORTH AVE, TORONTO, M4L3S7"
665,N,2500000,8278.0,101210091,2023/12/21 00:00,,,,,,142,0.0,80,False,"30 CARAVAN DR, TORONTO, M3B1N2"
933,N,2,6354.0,213660082,2023/12/21 00:00,,,,,,77,0.0,80,False,"172 HIGH PARK AVE, TORONTO, M6P2S4"
939,N,0,6140.0,102240193,2023/12/21 00:00,,,,,,155,0.0,80,False,"27 FRASERWOOD ROAD, TORONTO"
1035,Y,428025,2634.0,764890076,2023/12/21 00:00,,,,,,110,0.0,80,False,"76 - 224 KING ST W, TORONTO, M5H0A6"
1035,Y,732500,2634.0,764890318,2023/12/21 00:00,,,,,,111,0.0,80,False,"2601 - 224 KING ST W, TORONTO, M5H0A6"
1056,N,0,1694.0,212200168,2023/12/22 00:00,,,,,,53,0.0,80,False,"63 CLARENDON AVE, TORONTO, M4V1J2"
1066,Y,0,5546.0,763420139,2023/12/21 00:00,,,,,,83,0.0,80,False,"10 - 1638 BLOOR ST W, TORONTO, M6P0A6"
1082,Y,630000,174.0,121490153,2023/12/21 00:00,,,,,,173,0.0,80,False,"13 - 102 BLOOR ST W, TORONTO, M5S1M8"
1151,Y,1075000,3594.0,762250100,2023/12/21 00:00,,,,,,125,0.0,80,False,"904 - 25 STAFFORD ST, TORONTO, M5V0G3"
1268,N,0,2566.0,211840079,2023/12/22 00:00,,,,,,40,0.0,80,False,"235 WARREN RD, TORONTO, M4V2S6"
1272,N,0,2547.0,211840080,2023/12/22 00:00,,,,,,39,0.0,80,False,"235 WARREN RD, TORONTO, M4V2S6"
1338,Y,665000,2078.0,116150011,2023/12/21 00:00,,,,,,85,0.0,80,False,"304 - 192 JARVIS ST, TORONTO, M5B2J9"
1445,Y,677000,2514.0,762670170,2023/12/21 00:00,,,,,,106,0.0,80,False,"1202 - 325 BAY ST, TORONTO, M5H4G3"
1451,Y,500000,2459.0,768350199,2023/12/21 00:00,,,,,,105,0.0,80,False,"7 - 330 RICHMOND STREET WEST, TORONTO"
1607,N,0,3466.0,211790237,2023/12/21 00:00,,,,,,163,0.0,80,False,"77 HILLHOLM RD, TORONTO, M5P1M4"
1656,Y,604500,2120.0,768290083,2023/12/22 00:00,,,,,,72,0.0,80,False,"10 - 60 SHUTER STREET, TORONTO"
1674,N,550000,9021.0,064700128,2023/12/21 00:00,,,,,,169,0.0,80,False,"160 FALLINGBROOK RD, SCARBOROUGH, M1N0A1"
1702,Y,968888,746.0,116010080,2023/12/21 00:00,,,,,,187,0.0,80,False,"1204 - 71 CHARLES ST E, TORONTO, M4Y2T3"
1955,N,0,3086.0,211790286,2023/12/22 00:00,,,,,,44,0.0,80,False,"12 OLD FOREST HILL RD, TORONTO, M5P2P7"
1981,Y,1400000,2861.0,766030191,2023/12/21 00:00,,,,,,115,0.0,80,False,"2508 - 88 BLUE JAYS WAY, TORONTO"
1981,Y,1699000,2861.0,766030349,2023/12/21 00:00,,,,,,116,0.0,80,False,"LPH5 - 88 BLUE JAYS WAY, TORONTO"
1983,Y,1400000,3052.0,765530154,2023/12/21 00:00,,,,,,114,0.0,80,False,"601 - 111 BATHURST ST, TORONTO, M5V0M9"
2020,Y,679000,4534.0,123120072,2023/12/21 00:00,,,,,,153,0.0,80,False,"506 - 1750 BAYVIEW AVE, TORONTO, M4G4H6"
2123,Y,673000,4130.0,769500247,2023/12/22 00:00,,,,,,36,0.0,80,False,"10 - 39 ROEHAMPTON AVENUE, TORONTO"
2262,Y,929000,6814.0,127770131,2023/12/21 00:00,,,,,,185,0.0,80,False,"519 - 1863 QUEEN ST E, TORONTO, M4L3Y6"
2376,Y,635000,2806.0,122950069,2023/12/21 00:00,,,,,,107,0.0,80,False,"514 - 39 JARVIS ST, TORONTO, M5E1Z5"
2690,Y,735000,2937.0,124620095,2023/12/21 00:00,,,,,,162,0.0,80,False,"903 - 253 MERTON ST, TORONTO, M4S3H2"
2818,Y,671500,3312.0,764590088,2023/12/21 00:00,,,,,,164,0.0,80,False,"515 - 23 GLEBE RD W, TORONTO, M5P0A1"
2965,Y,800000,1702.0,769200406,2023/12/21 00:00,,,,,,86,0.0,80,False,"4 - 20 EDWARD STREET, TORONTO"
2998,Y,596297,4669.0,770050143,2023/12/21 00:00,,,,,,127,0.0,80,False,"270 DUFFERIN ST W, TORONTO"
2998,Y,600142,4669.0,770050260,2023/12/21 00:00,,,,,,128,0.0,80,False,"270 DUFFERIN STREET, TORONTO"
2998,Y,600777,4669.0,770050288,2023/12/21 00:00,,,,,,129,0.0,80,False,"270 DUFFERIN ST, TORONTO"
2998,Y,619860,4669.0,770050312,2023/12/21 00:00,,,,,,130,0.0,80,False,"270 DUFFERIN STREET, TORONTO"
3093,Y,557735,4322.0,770020094,2023/12/21 00:00,,,,,,158,0.0,80,False,"2020 BATHURST STREET, TORONTO"
3093,Y,557735,4322.0,770020534,2023/12/21 00:00,,,,,,159,0.0,80,False,"2020 BATHURST STREET, TORONTO"
3093,Y,557735,4322.0,770020626,2023/12/21 00:00,,,,,,160,0.0,80,False,"2020 BATHURST STREET, TORONTO"
3106,Y,0,1449.0,116190031,2023/12/22 00:00,,,,,,66,0.0,80,False,"405 - 77 CARLTON ST, TORONTO, M5B2J7"
3305,Y,550000,4173.0,129560154,2023/12/21 00:00,,,,,,191,0.0,80,False,"323 - 233 CARLAW AVE, TORONTO, M4M3N6"
3334,Y,0,2978.0,130350444,2023/12/21 00:00,,,,,,109,0.0,80,False,"3108 - 1 SCOTT ST, TORONTO, M5E1A1"
3338,Y,2,4207.0,765590149,2023/12/22 00:00,,,,,,37,0.0,80,False,"19 - 30 ROEHAMPTON AVENUE, TORONTO"
3365,Y,402851,2612.0,770080492,2023/12/21 00:00,,,,,,88,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,402851,2612.0,770081168,2023/12/21 00:00,,,,,,89,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,402851,2612.0,770081169,2023/12/21 00:00,,,,,,90,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,435204,2612.0,770080495,2023/12/21 00:00,,,,,,91,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,506216,2612.0,770080319,2023/12/21 00:00,,,,,,92,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,518170,2612.0,770080488,2023/12/21 00:00,,,,,,93,0.0,80,False,"108 PETER STREET, TORONTO"
3365,Y,545829,2612.0,770080494,2023/12/21 00:00,,,,,,94,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,559363,2612.0,770080491,2023/12/21 00:00,,,,,,95,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,561563,2612.0,770080490,2023/12/21 00:00,,,,,,96,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,562468,2612.0,770080425,2023/12/21 00:00,,,,,,97,0.0,80,False,"108 PETER STREET, TORONTO"
3365,Y,570328,2612.0,770080485,2023/12/22 00:00,,,,,,4,0.0,80,False,"108 PETER STREET, TORONTO"
3365,Y,570328,2612.0,770081184,2023/12/22 00:00,,,,,,5,0.0,80,False,"108 PETER STREET, TORONTO"
3365,Y,595802,2612.0,770080487,2023/12/21 00:00,,,,,,98,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,595802,2612.0,770080967,2023/12/21 00:00,,,,,,99,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,666038,2612.0,770080489,2023/12/21 00:00,,,,,,100,0.0,80,False,"108 PETER STREET, TORONTO"
3365,Y,671678,2612.0,770080493,2023/12/21 00:00,,,,,,101,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,804042,2612.0,770080486,2023/12/21 00:00,,,,,,102,0.0,80,False,"108 PETER STREET, TORONTO"
3365,Y,804042,2612.0,770080704,2023/12/21 00:00,,,,,,103,0.0,80,False,TORONTO
3365,Y,804042,2612.0,770080763,2023/12/21 00:00,,,,,,104,0.0,80,False,TORONTO
3405,N,429000,4910.0,211650186,2023/12/22 00:00,,,,,,32,0.0,80,False,"6 - 2550 BATHURST ST, TORONTO, M6B2Z2"
3508,N,2,2647.0,214120328,2023/12/22 00:00,,,,,,6,0.0,80,False,"299 ADELAIDE STREET WEST, TORONTO"
3816,Y,1140000,395.0,765030279,2023/12/21 00:00,,,,,,178,0.0,80,False,"3506 - 825 CHURCH ST, TORONTO, M4W3Z4"
3885,Y,725000,767.0,767510057,2023/12/21 00:00,,,,,,76,0.0,80,False,"14 - 955 BAY STREET, TORONTO"
3885,Y,925000,767.0,767510577,2023/12/22 00:00,,,,,,69,0.0,80,False,"8 - 955 BAY STREET, TORONTO"
3892,Y,500000,282.0,765860311,2023/12/21 00:00,,,,,,175,0.0,80,False,"7 - 155 YORKVILLE AVENUE, TORONTO"
4132,Y,930000,3344.0,129760108,2023/12/22 00:00,,,,,,10,0.0,80,False,"612 - 60 BATHURST ST, TORONTO, M5V2P4"
4178,Y,515000,8821.0,766780082,2023/12/21 00:00,,,,,,134,0.0,80,False,"5 - 2175 LAKE SHORE BLVD W, TORONTO, M8V1A1"
4179,Y,600000,2979.0,763380199,2023/12/21 00:00,,,,,,113,0.0,80,False,"1014 - 300 FRONT ST W, TORONTO, M5V0E9"
4244,Y,700000,3742.0,764790089,2023/12/22 00:00,,,,,,31,0.0,80,False,"612 - 60 BERWICK AVE, TORONTO, M5P0A3"
4300,Y,0,702.0,118760502,2023/12/22 00:00,,,,,,62,0.0,80,False,"3009 - 1001 BAY ST, TORONTO, M5S3A6"
4376,Y,333390,8168.0,770100095,2023/12/22 00:00,,,,,,15,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,343847,8168.0,770100236,2023/12/22 00:00,,,,,,16,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,343847,8168.0,770100827,2023/12/22 00:00,,,,,,17,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,449922,8168.0,770100164,2023/12/21 00:00,,,,,,143,0.0,80,False,"8 TIPPET ROAD, TORONTO"
4376,Y,449922,8168.0,770100773,2023/12/21 00:00,,,,,,144,0.0,80,False,"8 TIPPET ROAD, TORONTO"
4376,Y,465480,8168.0,770100189,2023/12/21 00:00,,,,,,145,0.0,80,False,"8 TIPPET ROAD, TORONTO"
4376,Y,465480,8168.0,770100455,2023/12/21 00:00,,,,,,146,0.0,80,False,"8 TIPPET ROAD, TORONTO"
4376,Y,491143,8168.0,770100056,2023/12/22 00:00,,,,,,18,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,491143,8168.0,770100679,2023/12/22 00:00,,,,,,19,0.0,80,False,TORONTO
4376,Y,505314,8168.0,770100075,2023/12/22 00:00,,,,,,20,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,505314,8168.0,770100412,2023/12/22 00:00,,,,,,21,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,505314,8168.0,770100651,2023/12/22 00:00,,,,,,22,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,505314,8168.0,770100799,2023/12/22 00:00,,,,,,23,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,603728,8168.0,770100194,2023/12/22 00:00,,,,,,24,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,603728,8168.0,770100198,2023/12/22 00:00,,,,,,25,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,603728,8168.0,770100624,2023/12/22 00:00,,,,,,26,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4653,Y,635000,3838.0,122980043,2023/12/20 00:00,,,,,,195,0.0,80,False,"302 - 600 QUEENS QUAY W, TORONTO, M5V3M3"
4704,Y,560000,8151.0,118190116,2023/12/21 00:00,,,,,,139,0.0,80,False,"1407 - 271 RIDLEY BLVD, TORONTO, M5M4N1"
4850,Y,1475000,852.0,116140149,2023/12/21 00:00,,,,,,176,0.0,80,False,"1904 - 278 BLOOR ST E, TORONTO, M4W3M4"
4963,Y,645000,3871.0,768720201,2023/12/20 00:00,,,,,,197,0.0,80,False,"18 - 38 IANNUZZI STREET, TORONTO"
4963,Y,750000,3871.0,768720088,2023/12/22 00:00,,,,,,11,0.0,80,False,"40 -, TORONTO"
5082,Y,0,4197.0,765830438,2023/12/21 00:00,,,,,,126,0.0,80,False,"2 - 68 ABELL STREET, TORONTO"
5082,Y,522500,4197.0,765830438,2023/12/22 00:00,,,,,,8,0.0,80,False,"2 - 68 ABELL STREET, TORONTO"
5310,Y,482500,4178.0,764480256,2023/12/21 00:00,,,,,,123,0.0,80,False,"520 - 36 LISGAR ST, TORONTO, M6J0C7"
5837,Y,100,1259.0,761230288,2023/12/22 00:00,,,,,,63,0.0,80,False,"2212 - 500 SHERBOURNE ST, TORONTO, M4X1L1"
6261,Y,0,975.0,122430165,2023/12/21 00:00,,,,,,190,0.0,80,False,"PH04 - 887 BAY ST, TORONTO, M5S3K4"
6277,Y,1030000,595.0,766620519,2023/12/21 00:00,,,,,,188,0.0,80,False,"7 - 50 CHARLES STREET EAST, TORONTO"
6653,Y,0,3888.0,764330452,2023/12/22 00:00,,,,,,12,0.0,80,False,"1630 - 38 GRAND MAGAZINE ST, TORONTO, M5V0B1"
6727,Y,613000,1781.0,769310149,2023/12/21 00:00,,,,,,179,0.0,80,False,"27 - 280 HOWLAND AVENUE, TORONTO"
6774,Y,1150000,2789.0,130050133,2023/12/22 00:00,,,,,,2,0.0,80,False,"5 - 205 FREDERICK ST, TORONTO, M5A4V3"
7028,Y,0,3327.0,765101221,2023/12/21 00:00,,,,,,124,0.0,80,False,"5702 - 14 YORK ST, TORONTO, M5J0B1"
7436,Y,669000,4078.0,127890156,2023/12/21 00:00,,,,,,136,0.0,80,False,"516 - 637 LAKE SHORE BLVD W, TORONTO, M5V3J6"
7475,N,0,9606.0,076170225,2023/12/22 00:00,,,,,,13,0.0,80,False,ETOBICOKE
7558,Y,470000,3314.0,763430645,2023/12/21 00:00,,,,,,84,0.0,80,False,"531 - 47 LOWER RIVER ST, TORONTO, M5A0G1"
7590,Y,540000,3042.0,118500453,2023/12/21 00:00,,,,,,108,0.0,80,False,"2521 - 25 THE ESPLANADE, TORONTO, M5E1W5"
7773,Y,988888,3492.0,765490060,2023/12/22 00:00,,,,,,3,0.0,80,False,"60 -, TORONTO"
7987,Y,422500,1451.0,110750035,2023/12/22 00:00,,,,,,67,0.0,80,False,"307 - 40 HOMEWOOD AVE, TORONTO, M4Y2K2"
7987,Y,545000,1451.0,110750170,2023/12/22 00:00,,,,,,68,0.0,80,False,"1115 - 40 HOMEWOOD AVE, TORONTO, M4Y2K2"
8059,Y,675000,8383.0,127950105,2023/12/21 00:00,,,,,,138,0.0,80,False,"809 - 3840 BATHURST ST, NORTH YORK, M3H6C6"
8246,Y,540000,8210.0,768530428,2023/12/21 00:00,,,,,,147,0.0,80,False,"19 - 31 TIPPETT ROAD, NORTH YORK/TORONTO"
8246,Y,880000,8210.0,768530016,2023/12/21 00:00,,,,,,148,0.0,80,False,"1 - 31 TIPPET ROAD, NORTH YORK/TORONTO"
8438,Y,880000,7599.0,118060152,2023/12/21 00:00,,,,,,131,0.0,80,False,"939 - 22 SOUTHPORT ST, TORONTO, M6S4Y9"
8669,Y,550000,3279.0,761300374,2023/12/21 00:00,,,,,,112,0.0,80,False,"2606 - 55 BREMNER BLVD, TORONTO, M5J0A6"
8716,Y,649027,5777.0,770010073,2023/12/22 00:00,,,,,,54,0.0,80,False,"73 - 40 ED CLARK GARDENS BLVD, TORONTO"
8716,Y,650873,5777.0,770010069,2023/12/22 00:00,,,,,,55,0.0,80,False,"69 - 40 ED CLARK GARDENS BLVD, TORONTO"
8716,Y,650973,5777.0,770010071,2023/12/22 00:00,,,,,,56,0.0,80,False,"71 -, TORONTO"
8716,Y,742160,5777.0,770010076,2023/12/22 00:00,,,,,,57,0.0,80,False,"76 -, TORONTO"
10319,Y,718000,8236.0,769400198,2023/12/22 00:00,,,,,,34,0.0,80,False,"2 - 1461 LAWRENCE AVENUE WEST, TORONTO"
10374,Y,751000,9993.0,127680259,2023/12/21 00:00,,,,,,137,0.0,80,False,"2506 - 35 BALES AVE, NORTH YORK, M2N7L7"
10805,Y,2,9343.0,113940025,2023/12/22 00:00,,,,,,59,0.0,80,False,"303 - 270 SCARLETT RD, YORK, M6N4X7"
10805,Y,750000,9343.0,113940020,2023/12/21 00:00,,,,,,171,0.0,80,False,"211 - 270 SCARLETT RD, YORK, M6N4X7"
10946,Y,525000,9322.0,112550018,2023/12/21 00:00,,,,,,167,0.0,80,False,"206 - 75 EMMETT AVE, TORONTO, M6M5A7"
12161,Y,2,3489.0,129550433,2023/12/21 00:00,,,,,,117,0.0,80,False,"2507 - 15 FORT YORK BLVD, TORONTO, M5V3Y4"
13993,Y,860000,9105.0,764710377,2023/12/21 00:00,,,,,,133,0.0,80,False,"4301 - 2200 LAKE SHORE BLVD W, ETOBICOKE, M8V1A4"
14078,Y,0,7879.0,116200182,2023/12/21 00:00,,,,,,141,0.0,80,False,"601 - 3900 YONGE ST, NORTH YORK, M4N3N6"
14857,Y,618000,873.0,768450243,2023/12/21 00:00,,,,,,192,0.0,80,False,"1 - 11 WELLESLEY STREET, TORONTO"
15593,Y,780000,6474.0,114350127,2023/12/21 00:00,,,,,,82,0.0,80,False,"404 - 80 QUEBEC AVE, TORONTO, M6P4B7"
16604,Y,701330,3503.0,770090055,2023/12/21 00:00,,,,,,79,0.0,80,False,"665 QUEEN ST EAST, TORONTO"
16604,Y,701330,3503.0,770090361,2023/12/21 00:00,,,,,,80,0.0,80,False,"665 QUEEN ST EAST, TORONTO"
16604,Y,701330,3503.0,770090498,2023/12/21 00:00,,,,,,81,0.0,80,False,"665 QUEEN ST EAST, TORONTO"
16747,Y,1175000,9370.0,119120184,2023/12/21 00:00,,,,,,75,0.0,80,False,"904 - 2267 LAKESHORE BLVD W, ETOBICOKE, M8V3X2"
16990,Y,515000,9522.0,769570335,2023/12/20 00:00,,,,,,198,0.0,80,False,"19 - 251 MANITOBA STREET, TORONTO"
16990,Y,630000,9522.0,769570208,2023/12/22 00:00,,,,,,14,0.0,80,False,"22 - 251 MANITOBA STREET, TORONTO"
18038,Y,645000,3452.0,761570280,2023/12/21 00:00,,,,,,118,0.0,80,False,"829 - 10 CAPREOL CRT, TORONTO, M5V4B3"
18038,Y,720000,3452.0,763010564,2023/12/21 00:00,,,,,,119,0.0,80,False,"1902 - 151 DAN LECKIE WAY, TORONTO, M5V4B2"
18097,Y,525000,9433.0,764680319,2023/12/21 00:00,,,,,,150,0.0,80,False,"809 - 15 JAMES FINLAY WAY, NORTH YORK, M3M0B3"
19156,Y,1300000,7935.0,120530391,2023/12/21 00:00,,,,,,135,0.0,80,False,"3602 - 1 PALACE PIER CRT, ETOBICOKE, M8V3W9"
20049,Y,670000,3980.0,761810633,2023/12/20 00:00,,,,,,194,0.0,80,False,"1801 - 215 FORT YORK BLVD, TORONTO, M5V4A2"
20057,Y,0,4671.0,128020034,2023/12/22 00:00,,,,,,74,0.0,80,False,"34 - 1369 BLOOR ST W, TORONTO, M6P4J4"
20485,Y,762500,3374.0,130090177,2023/12/21 00:00,,,,,,120,0.0,80,False,"923 - 4K SPADINA AVE, TORONTO, M5V3Y9"
22332,Y,655000,8861.0,123210018,2023/12/21 00:00,,,,,,151,0.0,80,False,"207 - 1700 EGLINTON AVE E, TORONTO, M4A2X4"
24577,Y,0,9566.0,124370495,2023/12/20 00:00,,,,,,199,0.0,80,False,"322 - 200 MANITOBA ST, TORONTO, M8Y3Y9"
24577,Y,490900,9566.0,124370135,2023/12/20 00:00,,,,,,200,0.0,80,False,"322 - 200 MANITOBA ST, TORONTO, M8Y3Y9"
25872,Y,460000,6403.0,110510344,2023/12/22 00:00,,,,,,27,0.0,80,False,"1702 - 715 DON MILLS RD, DON MILLS, M3C1S5"
26609,Y,0,3581.0,768500322,2023/12/21 00:00,,,,,,121,0.0,80,False,"6 - 15 QUEENS QUAY EAST, TORONTO"
26609,Y,690000,3581.0,764910314,2023/12/21 00:00,,,,,,122,0.0,80,False,"930 - 39 QUEENS QUAY E, TORONTO, M5E0A5"
35195,Y,505000,6762.0,111410040,2023/12/22 00:00,,,,,,29,0.0,80,False,"107 - 155 LEEWARD GLENWAY, DON MILLS, M3C2Z6"
17,N,795000,7068.0,104330203,2023/12/21 00:00,,,,,,160,0.0,80,False,"266 WESTLAKE AVE, TORONTO, M4C4T6"
38,N,160000,741.0,211080127,2023/12/21 00:00,,,,,,178,0.0,80,False,"87 ISABELLA ST REAR, TORONTO"
92,N,1160000,5565.0,210390090,2023/12/21 00:00,,,,,,175,0.0,80,False,"2 DOROTHY BULLEN PL, TORONTO, M4L3X8"
111,N,1750000,8766.0,101160518,2023/12/21 00:00,,,,,,137,0.0,80,False,"12 CHINOOK TRAIL, TORONTO"
127,N,1175000,4674.0,210520121,2023/12/22 00:00,,,,,,69,0.0,80,False,"19 LARCHMOUNT AVE, TORONTO, M4M2Y6"
128,N,770000,6515.0,104890260,2023/12/22 00:00,,,,,,46,0.0,80,False,"173 KANE AVE, YORK, M6M3N4"
134,N,1120000,5702.0,104860243,2023/12/22 00:00,,,,,,45,0.0,80,False,"362 MCROBERTS AVE, TORONTO, M6E4P9"
146,N,1005000,4091.0,213090554,2023/12/21 00:00,,,,,,85,0.0,80,False,"37 MOUTRAY ST, TORONTO, M6K1W3"
157,N,600000,4164.0,210490391,2023/12/21 00:00,,,,,,166,0.0,80,False,"436 JONES AVE, TORONTO, M4J3G3"
162,N,1249000,6917.0,210150070,2023/12/22 00:00,,,,,,50,0.0,80,False,"155 GLENMOUNT PARK RD, TORONTO, M4E2N3"
163,N,0,4329.0,210560443,2023/12/22 00:00,,,,,,70,0.0,80,False,"46 PAPE AVE, TORONTO, M4M2V6"
165,N,2100000,802.0,212120146,2023/12/22 00:00,,,,,,63,0.0,80,False,"77 LOWTHER AVE, TORONTO, M5R1C9"
167,N,1250000,3957.0,210590073,2023/12/21 00:00,,,,,,177,0.0,80,False,"947 GERRARD ST E, TORONTO, M4M1Z1"
172,N,1735000,3476.0,212980290,2023/12/22 00:00,,,,,,9,0.0,80,False,"87 CRAWFORD ST, TORONTO, M6J2V1"
175,N,1550000,1898.0,212360384,2023/12/22 00:00,,,,,,72,0.0,80,False,"87 OXFORD ST, TORONTO, M5T1P2"
188,N,665000,8133.0,105130543,2023/12/22 00:00,,,,,,49,0.0,80,False,"44 GREENDALE AVE, YORK, M6N4P6"
193,N,0,3962.0,213130419,2023/12/21 00:00,,,,,,174,0.0,80,False,"9 MILLICENT ST, TORONTO, M6H1W3"
193,N,1100000,4900.0,213300099,2023/12/21 00:00,,,,,,76,0.0,80,False,"82 SYMINGTON AVE, TORONTO, M6P3W1"
205,N,1225000,5233.0,210370323,2023/12/21 00:00,,,,,,184,0.0,80,False,"98 HIGHFIELD RD, TORONTO, M4L2V1"
210,N,196406,5568.0,213200643,2023/12/22 00:00,,,,,,48,0.0,80,False,"89 GILBERT AVE, TORONTO, M6E4W2"
213,N,732000,6883.0,104980056,2023/12/22 00:00,,,,,,51,0.0,80,False,"616 ROGERS RD, YORK, M6M1B8"
226,N,860900,5539.0,213200957,2023/12/22 00:00,,,,,,57,0.0,80,False,"56 PRESCOTT AVE, TORONTO, M6N3G5"
232,N,795000,7082.0,104330205,2023/12/21 00:00,,,,,,161,0.0,80,False,"266 WESTLAKE AVE, TORONTO, M4C4T6"
234,N,0,6680.0,104270423,2023/12/21 00:00,,,,,,162,0.0,80,False,"887 COSBURN AVE, TORONTO, M4C2W5"
235,N,2100000,804.0,212120144,2023/12/22 00:00,,,,,,64,0.0,80,False,"83 LOWTHER AVE, TORONTO, M5R1C9"
250,N,1525435,5839.0,213550081,2023/12/21 00:00,,,,,,185,0.0,80,False,"435 INDIAN GROVE, TORONTO, M6P2H7"
254,N,625000,9750.0,064480067,2023/12/22 00:00,,,,,,44,0.0,80,False,"489 WARDEN AVE, TORONTO, M1L3Y9"
261,N,1260000,4448.0,103830179,2023/12/21 00:00,,,,,,151,0.0,80,False,"83 RANDOLPH RD, TORONTO, M4G3S1"
276,N,0,3809.0,104040251,2023/12/21 00:00,,,,,,164,0.0,80,False,"10 GERTRUDE PL, TORONTO, M4J1R2"
276,N,2,7054.0,104970335,2023/12/22 00:00,,,,,,47,0.0,80,False,"1807 KEELE ST, TORONTO, M6M3X3"
283,N,1800000,3959.0,212860512,2023/12/21 00:00,,,,,,168,0.0,80,False,"57 GLENHOLME AVE, TORONTO, M6H3A8"
291,N,1350000,5593.0,104790045,2023/12/22 00:00,,,,,,40,0.0,80,False,"1 BRANSTONE RD, YORK, M6E4E3"
295,N,2030000,8051.0,105240264,2023/12/22 00:00,,,,,,1,0.0,80,False,"12 HUMBER TRAIL, TORONTO, M6S4B9"
303,N,0,6159.0,210200100,2023/12/20 00:00,,,,,,198,0.0,80,False,"4 BOWMORE RD, TORONTO, M4L3H7"
305,N,880000,9405.0,065000071,2023/12/22 00:00,,,,,,37,0.0,80,False,"147 LEYTON AVE, TORONTO, M1L3V4"
307,N,2,4516.0,211680388,2023/12/22 00:00,,,,,,32,0.0,80,False,"74 CASTLE KNOCK RD, TORONTO, M5N2J7"
332,N,930000,5671.0,104170150,2023/12/22 00:00,,,,,,41,0.0,80,False,"897 COXWELL AVE, EAST YORK, M4C3G1"
334,N,1900000,5500.0,211560085,2023/12/21 00:00,,,,,,146,0.0,80,False,"311 ROSEWELL AVE, TORONTO, M4R2B1"
337,N,0,4728.0,103840106,2023/12/21 00:00,,,,,,153,0.0,80,False,"293 AIRDRIE RD, EAST YORK, M4G1N4"
346,N,1989000,4955.0,213010151,2023/12/21 00:00,,,,,,130,0.0,80,False,"108 COWAN AVE, TORONTO, M6K2N4"
349,N,43310,7442.0,210050163,2023/12/21 00:00,,,,,,171,0.0,80,False,"31 HAMBLY AVE, TORONTO, M4E2R5"
358,N,710000,7492.0,105180874,2023/12/21 00:00,,,,,,180,0.0,80,False,"2451 ST CLAIR AVE W, TORONTO, M6N1K9"
